,original_label,score_x,twitter_id,MR1_label,score_y,MR2_label,score_x,MR3_label,score_y,MR4_label,score
77,Negative,0.900583923,1467833736,Positive,0.683067262,Negative,0.896997273,Negative,0.837522924,Negative,0.930777788
78,Negative,0.678182185,1467833799,Positive,0.633906066,Negative,0.668353617,Negative,0.510548651,Negative,0.83977437
79,Negative,0.904447913,1467834001,Negative,0.785458565,Negative,0.914256215,Negative,0.869753778,Negative,0.932685077
80,Negative,0.911205828,1467834053,Negative,0.572643697,Negative,0.912751019,Negative,0.878165185,Negative,0.93096137
81,Negative,0.719035208,1467834227,Positive,0.93723768,Negative,0.80754149,Negative,0.513631582,Negative,0.843599975
82,Neutral,0.574765623,1467834239,Positive,0.921279073,Negative,0.671109319,Negative,0.405104697,Negative,0.861782849
83,Neutral,0.583251774,1467834265,Positive,0.969183207,Negative,0.591361463,Neutral,0.419065803,Negative,0.841109335
84,Negative,0.942063391,1467834284,Negative,0.722975552,Negative,0.929563403,Negative,0.901231349,Negative,0.943045735
85,Negative,0.798953295,1467834400,Positive,0.522636771,Negative,0.822874665,Negative,0.531536281,Negative,0.817189515
86,Neutral,0.613669574,1467834817,Positive,0.926527143,Negative,0.808239579,Negative,0.684780777,Negative,0.87373507
87,Negative,0.7464692,1467835085,Negative,0.389397264,Negative,0.792835236,Negative,0.641326368,Negative,0.820925295
88,Negative,0.81855464,1467835198,Positive,0.849072158,Negative,0.82823199,Negative,0.665048182,Negative,0.903656781
89,Negative,0.651596189,1467835305,Positive,0.485418588,Negative,0.659111798,Negative,0.415961295,Negative,0.696611941
90,Neutral,0.547183573,1467835345,Positive,0.91179651,Negative,0.680408001,Negative,0.502016902,Negative,0.827334285
91,Positive,0.391121268,1467835577,Positive,0.979338944,Negative,0.62499696,Positive,0.533262551,Negative,0.83181411
92,Negative,0.897880912,1467835880,Positive,0.627969503,Negative,0.891812801,Negative,0.784436822,Negative,0.913232625
93,Negative,0.944987297,1467836024,Negative,0.930942059,Negative,0.938549161,Negative,0.932696283,Negative,0.948050857
94,Neutral,0.574502528,1467836111,Positive,0.70939213,Negative,0.693206608,Negative,0.477925748,Negative,0.76530385
95,Negative,0.806719422,1467836448,Positive,0.885618329,Negative,0.871221423,Negative,0.753984153,Negative,0.902521431
96,Negative,0.559939682,1467836500,Neutral,0.471085012,Negative,0.680172443,Negative,0.421701252,Negative,0.774808705
97,Positive,0.866780341,1467836576,Positive,0.956308246,Positive,0.625921607,Positive,0.870173633,Positive,0.499827802
98,Negative,0.872856379,1467836583,Neutral,0.430635184,Negative,0.91203016,Negative,0.863592207,Negative,0.931055784
99,Negative,0.63131094,1467836859,Positive,0.608929932,Negative,0.701971889,Negative,0.42901659,Negative,0.794404626
100,Neutral,0.934252679,1467836873,Positive,0.66937232,Negative,0.737677217,Negative,0.569505394,Negative,0.832829952
101,Negative,0.901128113,1467837189,Positive,0.362190545,Negative,0.907558322,Negative,0.846124887,Negative,0.915583074
102,Neutral,0.537589431,1467837384,Positive,0.812704384,Negative,0.5361588,Neutral,0.446417212,Negative,0.790748656
103,Neutral,0.943929911,1467837470,Positive,0.918365061,Negative,0.795961559,Negative,0.656707048,Negative,0.901288271
104,Neutral,0.585830867,1467837579,Positive,0.889583051,Negative,0.531744301,Positive,0.375601858,Negative,0.73160553
105,Neutral,0.444199204,1467837602,Positive,0.809452653,Negative,0.556086659,Positive,0.543553233,Negative,0.709970713
106,Positive,0.926787138,1467837762,Positive,0.954703689,Positive,0.631245732,Positive,0.784076869,Positive,0.509996831
107,Negative,0.789808929,1467837819,Neutral,0.427216649,Negative,0.8993451,Negative,0.730077207,Negative,0.927012265
108,Negative,0.755913138,1467837888,Neutral,0.456876159,Negative,0.830039203,Negative,0.740328312,Negative,0.892430365
109,Negative,0.607383847,1467838188,Positive,0.888695955,Negative,0.644622564,Neutral,0.397782207,Negative,0.766232312
110,Neutral,0.545636535,1467838189,Positive,0.731961906,Negative,0.751504838,Neutral,0.44355762,Negative,0.878511727
111,Negative,0.943078935,1467838362,Negative,0.918403566,Negative,0.946853518,Negative,0.942769647,Negative,0.948906124
112,Negative,0.714050412,1467838419,Neutral,0.41946283,Negative,0.837068796,Negative,0.713815689,Negative,0.876480937
113,Negative,0.931755126,1467838433,Negative,0.801757753,Negative,0.933648765,Negative,0.913038015,Negative,0.941678762
114,Neutral,0.632793903,1467838630,Positive,0.932297409,Negative,0.616087556,Neutral,0.398041904,Negative,0.743947268
115,Positive,0.962549806,1467839007,Positive,0.963517427,Positive,0.850356579,Positive,0.937864363,Positive,0.701339602
116,Negative,0.881442606,1467839405,Positive,0.446781278,Negative,0.865083396,Negative,0.767340243,Negative,0.916908801
117,Negative,0.904840231,1467839450,Positive,0.574549615,Negative,0.891770244,Negative,0.825472057,Negative,0.923758984
118,Negative,0.877527535,1467839477,Negative,0.457407117,Negative,0.88114953,Negative,0.73777926,Negative,0.913285434
119,Positive,0.954948664,1467839586,Positive,0.970692575,Positive,0.482881725,Positive,0.756912589,Negative,0.43693915
120,Negative,0.919338524,1467839737,Negative,0.753870785,Negative,0.915038466,Negative,0.89913553,Negative,0.932942033
121,Negative,0.451566249,1467839816,Positive,0.960018039,Negative,0.694510639,Positive,0.367680639,Negative,0.831282914
122,Negative,0.408608288,1467840016,Positive,0.633731842,Negative,0.733964205,Negative,0.490596026,Negative,0.850295424
123,Negative,0.924328685,1467840386,Negative,0.897740364,Negative,0.934060514,Negative,0.924309015,Negative,0.943239927
124,Negative,0.928775072,1467840552,Negative,0.771206141,Negative,0.91599679,Negative,0.858628035,Negative,0.929164231
125,Negative,0.833289206,1467840629,Negative,0.641336143,Negative,0.881275892,Negative,0.851690471,Negative,0.918210506
126,Negative,0.903138518,1467841189,Negative,0.701789498,Negative,0.885519445,Negative,0.776719093,Negative,0.902329981
127,Negative,0.575941622,1467841204,Positive,0.828250229,Negative,0.84912914,Negative,0.714123964,Negative,0.897278547
128,Negative,0.612676799,1467841832,Positive,0.680629134,Negative,0.79792124,Negative,0.517856121,Negative,0.893272996
129,Negative,0.7491377,1467841885,Positive,0.49552232,Negative,0.803307474,Negative,0.636375129,Negative,0.871508121
130,Positive,0.965492249,1467841897,Positive,0.972406447,Positive,0.417408466,Positive,0.76287663,Positive,0.390664935
131,Neutral,0.509345233,1467841969,Positive,0.753256917,Negative,0.828590274,Negative,0.659994721,Negative,0.861565888
132,Negative,0.560552478,1467842107,Positive,0.681790113,Negative,0.697542369,Neutral,0.468566626,Negative,0.823832393
133,Neutral,0.726744592,1467842299,Positive,0.909815371,Neutral,0.547958493,Neutral,0.460253,Negative,0.66113919
134,Positive,0.842419088,1467842377,Positive,0.898616433,Positive,0.521182656,Positive,0.68147707,Positive,0.441277474
135,Negative,0.608195722,1467842448,Positive,0.976221383,Negative,0.855400741,Negative,0.426272124,Negative,0.906826258
136,Neutral,0.593517959,1467842568,Positive,0.448063076,Negative,0.801125705,Negative,0.693235278,Negative,0.894787073
137,Negative,0.812188506,1467842607,Negative,0.459533811,Negative,0.875939131,Negative,0.796574056,Negative,0.894318283
138,Neutral,0.563833654,1467842832,Positive,0.76305002,Negative,0.725580454,Negative,0.549342632,Negative,0.852624893
139,Negative,0.524709404,1467842837,Positive,0.480842561,Negative,0.692232132,Negative,0.550217152,Negative,0.853471637
140,Neutral,0.528568387,1467843075,Positive,0.64746803,Negative,0.753937006,Negative,0.523332238,Negative,0.863553703
141,Negative,0.862519026,1467843215,Negative,0.524491608,Negative,0.867480457,Negative,0.814076722,Negative,0.903113365
142,Neutral,0.676802576,1467843470,Positive,0.96284467,Negative,0.468842506,Positive,0.419256657,Negative,0.753408253
143,Negative,0.733488262,1467843568,Positive,0.809181333,Negative,0.893378019,Negative,0.818502903,Negative,0.920702517
144,Negative,0.896309018,1467843624,Negative,0.545540333,Negative,0.877223432,Negative,0.820858121,Negative,0.919467986
145,Negative,0.656340122,1467843647,Positive,0.548305511,Negative,0.802979529,Negative,0.675205231,Negative,0.870489717
146,Negative,0.881324172,1467843734,Neutral,0.392583638,Negative,0.894560218,Negative,0.83912456,Negative,0.92689538
147,Negative,0.919416785,1467843740,Negative,0.726423562,Negative,0.918293774,Negative,0.867895663,Negative,0.929796457
148,Positive,0.906074703,1467844097,Positive,0.968559563,Negative,0.381963104,Positive,0.701220095,Negative,0.540761232
149,Negative,0.554876387,1467844140,Positive,0.683018148,Negative,0.691378832,Neutral,0.442745358,Negative,0.781061411
150,Negative,0.940706611,1467844157,Negative,0.805510044,Negative,0.929620922,Negative,0.893064559,Negative,0.943921506
151,Negative,0.846847773,1467844505,Negative,0.864944398,Negative,0.927877486,Negative,0.926534176,Negative,0.946423948
152,Negative,0.907106996,1467844540,Neutral,0.381383091,Negative,0.918066144,Negative,0.889680326,Negative,0.934519291
153,Negative,0.844669521,1467844907,Positive,0.546465099,Negative,0.886760712,Negative,0.809256554,Negative,0.930851877
154,Negative,0.811248958,1467845095,Positive,0.601374745,Negative,0.773055077,Negative,0.524079263,Negative,0.864036739
155,Neutral,0.628559589,1467845157,Positive,0.834911764,Negative,0.542651832,Neutral,0.42464602,Negative,0.802175879
156,Negative,0.749292672,1467852031,Neutral,0.451215267,Negative,0.848635495,Negative,0.758454204,Negative,0.895851731
157,Negative,0.765136063,1467852067,Positive,0.72066474,Negative,0.692414343,Negative,0.370242178,Negative,0.8573125
158,Negative,0.497166336,1467852789,Positive,0.892631233,Negative,0.770585179,Negative,0.463073045,Negative,0.877410531
159,Positive,0.78184545,1467853135,Positive,0.911266506,Positive,0.503962874,Positive,0.780915916,Negative,0.393966913
160,Positive,0.653428376,1467853356,Positive,0.927585244,Negative,0.391840518,Positive,0.624643743,Negative,0.505972385
161,Neutral,0.921225369,1467853431,Positive,0.875178337,Negative,0.550223589,Neutral,0.495686054,Negative,0.771433651
162,Negative,0.840750039,1467853479,Neutral,0.41862309,Negative,0.869686067,Negative,0.770868778,Negative,0.920821488
163,Negative,0.851407051,1467854062,Negative,0.57396841,Negative,0.870111942,Negative,0.791561842,Negative,0.901315391
164,Neutral,0.757883847,1467854345,Positive,0.951886237,Negative,0.627848268,Neutral,0.454963505,Negative,0.767206132
165,Negative,0.946089029,1467854706,Negative,0.892903805,Negative,0.935840666,Negative,0.914107263,Negative,0.947614193
166,Positive,0.879146755,1467854917,Positive,0.959140897,Negative,0.485119849,Positive,0.472574145,Negative,0.625449419
167,Negative,0.895779312,1467855673,Negative,0.401660234,Negative,0.898506463,Negative,0.856379747,Negative,0.920115352
168,Neutral,0.481573999,1467855812,Positive,0.92001462,Neutral,0.456614792,Neutral,0.416670948,Negative,0.619051099
169,Negative,0.913755715,1467855981,Negative,0.609917045,Negative,0.885130286,Negative,0.812277555,Negative,0.910891473
170,Negative,0.661639035,1467856044,Positive,0.774922132,Negative,0.774285257,Negative,0.535367072,Negative,0.880158842
171,Neutral,0.928009987,1467856352,Positive,0.931622744,Negative,0.581294537,Neutral,0.455268741,Negative,0.800212622
172,Negative,0.927181423,1467856426,Negative,0.768023252,Negative,0.92878443,Negative,0.909495294,Negative,0.936429441
173,Negative,0.927566707,1467856497,Negative,0.515713632,Negative,0.920067608,Negative,0.881421268,Negative,0.932892561
174,Negative,0.658068836,1467856632,Positive,0.521175385,Negative,0.655493677,Negative,0.438688368,Negative,0.83134973
175,Negative,0.940696478,1467856821,Negative,0.817191839,Negative,0.940654993,Negative,0.924235463,Negative,0.942130864
176,Neutral,0.547518373,1467856919,Positive,0.845326722,Negative,0.668064177,Negative,0.398522615,Negative,0.824811161
177,Negative,0.938254535,1467857221,Negative,0.780092478,Negative,0.927143812,Negative,0.880530894,Negative,0.934122205
178,Negative,0.647704959,1467857297,Positive,0.823138177,Negative,0.708914042,Positive,0.411772549,Negative,0.797974348
179,Neutral,0.501251578,1467857378,Positive,0.930645525,Negative,0.765059888,Negative,0.457512856,Negative,0.861378551
180,Negative,0.936127543,1467857511,Negative,0.76922828,Negative,0.92539525,Negative,0.911569297,Negative,0.933181584
181,Neutral,0.754882693,1467857722,Positive,0.952730358,Negative,0.482494771,Neutral,0.485349,Negative,0.792575181
182,Neutral,0.935756803,1467857975,Positive,0.849608421,Negative,0.548675835,Neutral,0.503713369,Negative,0.823073089
183,Negative,0.810153186,1467858363,Positive,0.601181567,Negative,0.845675051,Negative,0.716027737,Negative,0.903330088
184,Neutral,0.719601035,1467858627,Positive,0.954290748,Negative,0.499754369,Positive,0.414250195,Negative,0.689709723
185,Negative,0.916330993,1467858869,Negative,0.687031031,Negative,0.929365993,Negative,0.919177413,Negative,0.94067651
186,Negative,0.901629031,1467859025,Negative,0.81683588,Negative,0.919953704,Negative,0.91456151,Negative,0.93388623
187,Neutral,0.406412363,1467859066,Positive,0.888963282,Negative,0.721584857,Negative,0.519855559,Negative,0.835222244
188,Positive,0.911691129,1467859408,Positive,0.912269413,Positive,0.668469787,Positive,0.840888321,Positive,0.534485936
189,Neutral,0.508370101,1467859436,Positive,0.743595004,Negative,0.555629611,Neutral,0.458329618,Negative,0.791930676
190,Negative,0.620787501,1467859558,Neutral,0.475943118,Negative,0.627829015,Neutral,0.450925291,Negative,0.783532679
191,Negative,0.680359364,1467859666,Positive,0.692096114,Negative,0.910116076,Negative,0.869645357,Negative,0.931515396
192,Negative,0.91911304,1467859820,Negative,0.803711534,Negative,0.934559405,Negative,0.932240844,Negative,0.948329747
193,Negative,0.932924271,1467859922,Negative,0.696849525,Negative,0.897363722,Negative,0.848125041,Negative,0.923318267
194,Negative,0.902139664,1467860144,Negative,0.846349716,Negative,0.928424537,Negative,0.910044074,Negative,0.931394994
195,Negative,0.946678817,1467860268,Negative,0.906096101,Negative,0.94570142,Negative,0.941208363,Negative,0.954309881
196,Neutral,0.745145738,1467860895,Positive,0.94696039,Negative,0.658759236,Neutral,0.444860131,Negative,0.84560883
197,Negative,0.558172286,1467860904,Positive,0.846807182,Negative,0.708400667,Neutral,0.379538119,Negative,0.85821569
198,Negative,0.835500896,1467861095,Neutral,0.413521141,Negative,0.832174718,Negative,0.681833684,Negative,0.899364471
199,Negative,0.949939847,1467861413,Negative,0.924215138,Negative,0.949731529,Negative,0.944312453,Negative,0.956335723
200,Positive,0.817911625,1467861522,Positive,0.961748838,Positive,0.45446226,Positive,0.75339812,Negative,0.372857958
201,Negative,0.960724592,1467861571,Negative,0.948033392,Negative,0.954821467,Negative,0.951547444,Negative,0.959042311
202,Negative,0.843715131,1467862213,Negative,0.709829926,Negative,0.83137536,Negative,0.756302536,Negative,0.877244174
203,Negative,0.459995866,1467862313,Positive,0.850297451,Negative,0.573946178,Negative,0.366056055,Negative,0.765679061
204,Positive,0.884047866,1467862355,Positive,0.981832266,Negative,0.417698622,Positive,0.543652773,Negative,0.565111458
205,Negative,0.941764295,1467862411,Negative,0.845423818,Negative,0.941071808,Negative,0.927985668,Negative,0.9458763
206,Negative,0.936951041,1467862710,Negative,0.905374885,Negative,0.927775681,Negative,0.919146419,Negative,0.941493273
207,Positive,0.734347463,1467862806,Positive,0.943799198,Neutral,0.375178277,Positive,0.547201991,Negative,0.511165917
208,Neutral,0.779483795,1467863072,Positive,0.938170016,Negative,0.655347884,Neutral,0.466748953,Negative,0.877753437
209,Neutral,0.497666627,1467863415,Positive,0.67369318,Negative,0.7795645,Negative,0.583497882,Negative,0.86787957
210,Negative,0.781484723,1467863507,Positive,0.650120258,Negative,0.808522701,Negative,0.481983125,Negative,0.856483996
211,Negative,0.430467904,1467863508,Positive,0.933845282,Negative,0.751720548,Negative,0.419672936,Negative,0.838172555
212,Negative,0.856835604,1467863633,Positive,0.728283584,Negative,0.853002727,Negative,0.708491743,Negative,0.886708915
213,Negative,0.374123573,1467863684,Positive,0.536306262,Negative,0.865149558,Negative,0.790575206,Negative,0.883250415
214,Negative,0.911367357,1467863716,Negative,0.612956822,Negative,0.894023657,Negative,0.834734976,Negative,0.919657409
215,Negative,0.905132711,1467864250,Negative,0.454339087,Negative,0.8796193,Negative,0.778556705,Negative,0.908475757
216,Negative,0.828111768,1467870864,Positive,0.375402004,Negative,0.778996527,Negative,0.546152413,Negative,0.868277371
217,Neutral,0.572505534,1467870866,Positive,0.580657423,Negative,0.78217876,Negative,0.44412303,Negative,0.837049603
218,Negative,0.921082914,1467871007,Positive,0.530475855,Negative,0.913005948,Negative,0.803386033,Negative,0.925182581
219,Negative,0.82976681,1467871040,Neutral,0.412486166,Negative,0.889170706,Negative,0.846532941,Negative,0.916945219
220,Negative,0.540532053,1467871223,Positive,0.659120083,Negative,0.673309326,Negative,0.429912806,Negative,0.743278444
221,Positive,0.812181473,1467871226,Positive,0.977156579,Negative,0.445663124,Positive,0.634541035,Negative,0.626606047
222,Positive,0.990006268,1467871545,Positive,0.989812791,Positive,0.964300394,Positive,0.977837503,Positive,0.954347193
223,Negative,0.899398208,1467871552,Negative,0.55927062,Negative,0.906932831,Negative,0.889125288,Negative,0.920826733
224,Negative,0.91800946,1467871661,Negative,0.727520108,Negative,0.915953696,Negative,0.853253543,Negative,0.925037384
225,Negative,0.862401545,1467871754,Positive,0.376448601,Negative,0.901149333,Negative,0.764869928,Negative,0.913592994
226,Positive,0.916296244,1467871844,Positive,0.968297958,Positive,0.516401649,Positive,0.739497483,Positive,0.419292361
227,Negative,0.916599154,1467871917,Negative,0.503246963,Negative,0.887373865,Negative,0.825595438,Negative,0.917900801
228,Neutral,0.670893729,1467871956,Positive,0.899471521,Negative,0.693432093,Neutral,0.369788051,Negative,0.78083992
229,Negative,0.853024423,1467872136,Positive,0.461550891,Negative,0.894293308,Negative,0.867458582,Negative,0.92407006
230,Negative,0.802794993,1467872175,Neutral,0.479735434,Negative,0.876199782,Negative,0.769690931,Negative,0.927103937
231,Negative,0.651250064,1467872181,Positive,0.62685287,Negative,0.743329525,Negative,0.510230422,Negative,0.884479582
232,Negative,0.639445245,1467872218,Neutral,0.437256366,Negative,0.789888978,Negative,0.683229089,Negative,0.888904452
233,Negative,0.82535553,1467872247,Neutral,0.475684613,Negative,0.758361876,Negative,0.677675128,Negative,0.842583656
234,Negative,0.787697017,1467872309,Neutral,0.4075149,Negative,0.766906023,Negative,0.570253432,Negative,0.853166878
235,Neutral,0.875192225,1467872355,Positive,0.928620517,Negative,0.817428887,Negative,0.560357451,Negative,0.908644617
236,Neutral,0.925304294,1467872594,Positive,0.799866796,Negative,0.679782271,Negative,0.440035462,Negative,0.829140186
237,Positive,0.725934327,1467872638,Positive,0.935444415,Neutral,0.411189348,Positive,0.516014576,Negative,0.564907372
238,Negative,0.500321388,1467872759,Neutral,0.486653507,Negative,0.74843502,Negative,0.597139359,Negative,0.856509626
239,Negative,0.913353741,1467872940,Positive,0.447089732,Negative,0.868004203,Negative,0.754579425,Negative,0.921595037
240,Positive,0.980057001,1467873004,Positive,0.981317818,Positive,0.773854733,Positive,0.926111758,Positive,0.677705109
