label,score,twitter_id,date,scale
Positive,0.34836989641189575,2189606071,2009-06-16 00:26:26-07:00,4
Negative,0.5810393691062927,2189606086,2009-06-16 00:26:26-07:00,1
Negative,0.8733969330787659,2189606141,2009-06-16 00:26:26-07:00,1
Negative,0.5242195725440979,2189606248,2009-06-16 00:26:27-07:00,1
Negative,0.2826327681541443,2189606293,2009-06-16 00:26:28-07:00,1
Positive,0.7575250864028931,2189606299,2009-06-16 00:26:28-07:00,5
Negative,0.6428115963935852,2189606323,2009-06-16 00:26:28-07:00,1
Negative,0.2903740406036377,2189606332,2009-06-16 00:26:28-07:00,1
Negative,0.33113163709640503,2189606344,2009-06-16 00:26:28-07:00,1
Negative,0.2936050593852997,2189606406,2009-06-16 00:26:29-07:00,2
Positive,0.38515183329582214,2189606461,2009-06-16 00:26:29-07:00,4
Negative,0.32372942566871643,2189606528,2009-06-16 00:26:30-07:00,1
Negative,0.31534940004348755,1999260830,2009-06-01 19:54:59-07:00,1
Positive,0.41348057985305786,1999260842,2009-06-01 19:54:59-07:00,5
Positive,0.423366516828537,1999261073,2009-06-01 19:55:00-07:00,5
Positive,0.3276551067829132,1999261091,2009-06-01 19:55:00-07:00,5
Positive,0.5780153870582581,1999261107,2009-06-01 19:55:01-07:00,5
Negative,0.4164069890975952,1999261192,2009-06-01 19:55:01-07:00,1
Positive,0.8676878213882446,1999273049,2009-06-01 19:56:15-07:00,5
Positive,0.6498392224311829,1999273069,2009-06-01 19:56:15-07:00,5
Positive,0.5941271781921387,1999273200,2009-06-01 19:56:15-07:00,5
Positive,0.5105953812599182,1999273221,2009-06-01 19:56:15-07:00,5
Neutral,0.24732854962348938,1999273424,2009-06-01 19:56:17-07:00,3
Neutral,0.31988632678985596,1999273428,2009-06-01 19:56:17-07:00,3
Positive,0.9739195704460144,1999273557,2009-06-01 19:56:18-07:00,5
Positive,0.33011195063591003,1999273567,2009-06-01 19:56:18-07:00,4
Positive,0.24609977006912231,1999273716,2009-06-01 19:56:19-07:00,5
Neutral,0.33342453837394714,1999273720,2009-06-01 19:56:19-07:00,3
Neutral,0.3844604790210724,1999273738,2009-06-01 19:56:19-07:00,3
Positive,0.30778583884239197,1999273771,2009-06-01 19:56:19-07:00,4
Positive,0.6361240148544312,1999273796,2009-06-01 19:56:19-07:00,5
